Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C3_11      SMD_0603_CAPC1608X80N      -61.05mm       38.55mm      -61.05mm       38.55mm      -61.05mm       37.75mm  T         90.00 470nF          
C3_12      SMD_0603_CAPC1608X80N      -61.05mm       18.55mm      -61.05mm       18.55mm      -61.05mm       17.75mm  T         90.00 470nF          
C3_13      SMD_0603_CAPC1608X80N      -68.95mm       11.45mm      -68.95mm       11.45mm      -68.95mm       12.25mm  T        270.00 470nF          
C3_14      SMD_0603_CAPC1608X80N      -68.95mm       31.45mm      -68.95mm       31.45mm      -68.95mm       32.25mm  T        270.00 470nF          
C3_15      SMD_0603_CAPC1608X80N      -68.95mm       51.45mm      -68.95mm       51.45mm      -68.95mm       52.25mm  T        270.00 470nF          
C3_16      SMD_0603_CAPC1608X80N      -68.95mm       71.45mm      -68.95mm       71.45mm      -68.95mm       72.25mm  T        270.00 470nF          
C4_1       SMD_0603_CAPC1608X80N         -21mm          73mm         -21mm          73mm         -21mm        73.8mm  T        270.00 470nF          
C4_2       SMD_0603_CAPC1608X80N         -21mm       52.95mm         -21mm       52.95mm         -21mm       53.75mm  T        270.00 470nF          
C4_3       SMD_0603_CAPC1608X80N         -21mm       32.95mm         -21mm       32.95mm         -21mm       33.75mm  T        270.00 470nF          
C4_4       SMD_0603_CAPC1608X80N         -21mm       12.95mm         -21mm       12.95mm         -21mm       13.75mm  T        270.00 470nF          
C4_5       SMD_0603_CAPC1608X80N         -29mm       17.05mm         -29mm       17.05mm         -29mm       16.25mm  T         90.00 470nF          
C4_6       SMD_0603_CAPC1608X80N         -29mm       37.05mm         -29mm       37.05mm         -29mm       36.25mm  T         90.00 470nF          
C4_7       SMD_0603_CAPC1608X80N         -29mm       57.05mm         -29mm       57.05mm         -29mm       56.25mm  T         90.00 470nF          
C4_8       SMD_0603_CAPC1608X80N         -29mm       77.05mm         -29mm       77.05mm         -29mm       76.25mm  T         90.00 470nF          
C4_9       SMD_0603_CAPC1608X80N         -61mm       72.95mm         -61mm       72.95mm         -61mm       73.75mm  T        270.00 470nF          
C4_10      SMD_0603_CAPC1608X80N         -61mm       52.95mm         -61mm       52.95mm         -61mm       53.75mm  T        270.00 470nF          
C4_11      SMD_0603_CAPC1608X80N         -61mm       32.95mm         -61mm       32.95mm         -61mm       33.75mm  T        270.00 470nF          
C4_12      SMD_0603_CAPC1608X80N         -61mm       12.95mm         -61mm       12.95mm         -61mm       13.75mm  T        270.00 470nF          
C4_13      SMD_0603_CAPC1608X80N         -69mm       17.05mm         -69mm       17.05mm         -69mm       16.25mm  T         90.00 470nF          
C4_14      SMD_0603_CAPC1608X80N         -69mm       37.05mm         -69mm       37.05mm         -69mm       36.25mm  T         90.00 470nF          
C4_15      SMD_0603_CAPC1608X80N         -69mm       57.05mm         -69mm       57.05mm         -69mm       56.25mm  T         90.00 470nF          
C4_16      SMD_0603_CAPC1608X80N         -69mm       77.05mm         -69mm       77.05mm         -69mm       76.25mm  T         90.00 470nF          
C5_1       SMD_0603_CAPC1608X80N      -21.25mm       70.25mm      -21.25mm       70.25mm      -22.05mm       70.25mm  T        360.00 470nF          
C5_2       SMD_0603_CAPC1608X80N       -21.2mm       50.25mm       -21.2mm       50.25mm         -22mm       50.25mm  T        360.00 470nF          
C5_3       SMD_0603_CAPC1608X80N      -21.25mm       30.25mm      -21.25mm       30.25mm      -22.05mm       30.25mm  T        360.00 470nF          
C5_4       SMD_0603_CAPC1608X80N       -21.3mm       10.25mm       -21.3mm       10.25mm       -22.1mm       10.25mm  T        360.00 470nF          
C5_5       SMD_0603_CAPC1608X80N       -28.7mm       19.75mm       -28.7mm       19.75mm       -27.9mm       19.75mm  T        180.00 470nF          
C5_6       SMD_0603_CAPC1608X80N       -28.7mm       39.75mm       -28.7mm       39.75mm       -27.9mm       39.75mm  T        180.00 470nF          
C5_7       SMD_0603_CAPC1608X80N       -28.7mm       59.75mm       -28.7mm       59.75mm       -27.9mm       59.75mm  T        180.00 470nF          
C5_8       SMD_0603_CAPC1608X80N       -28.7mm       79.75mm       -28.7mm       79.75mm       -27.9mm       79.75mm  T        180.00 470nF          
C5_9       SMD_0603_CAPC1608X80N       -61.3mm       70.25mm       -61.3mm       70.25mm       -62.1mm       70.25mm  T        360.00 470nF          
